LoanAmount0,LoanPeriod0,Good,PredictedGood0
3000,6,1,598
5200,12,1,515
2750,8,1,398
1084,5,0,-300
3540,9,1,607
760,4,1,548
3000,8,0,487
542,4,0,404
1000,2,1,678
4000,8,1,544
4700,11,1,172
2400,7,1,299
4700,10,1,267
5000,12,0,-429
85500,46,0,-520
7600,16,1,100
10000,21,1,470
4700,9,1,219
500,2,1,449
500,4,0,-16
96400,48,0,-520
2758,8,0,-564
24300,32,1,192
12200,24,1,383
500,4,0,-592
1000,4,0,-501
4700,9,1,345
6000,12,1,270
4000,10,1,250
9200,20,1,490
500,4,0,57
5200,12,1,340
5250,12,1,270
1400,5,1,352
10000,21,1,279
7500,17,1,351
7500,17,1,251
1500,5,1,467
1200,5,0,-527
1800,6,1,399
4700,11,1,373
12200,24,1,315
5000,10,1,319
35600,35,0,-471
9200,18,1,211
3000,8,0,-387
2000,6,1,261
2000,6,0,415
2500,5,1,505
5000,10,1,421
25170,34,1,516
9200,18,1,470
9000,20,1,515
32300,34,1,392
4700,11,1,420
4700,11,1,396
4373,11,1,364
8200,16,1,384
3300,9,1,436
800,4,1,659
8500,17,1,581
7800,15,1,436
4700,11,0,270
1000,2,1,521
9200,20,1,418
600,4,1,452
2200,7,1,275
8250,18,1,385
4000,8,1,564
1720,6,0,310
4350,11,0,379
4000,11,0,-394
7600,15,1,526
4000,10,0,285
1000,4,0,-495
3000,8,1,367
34850,35,1,183
9200,21,1,483
5550,11,1,185
4500,9,1,164
3000,8,1,364
2500,5,1,384
8000,17,1,491
7500,17,1,385
6000,14,1,365
600,4,0,200
5000,12,1,505
43500,37,0,239
6000,14,1,468
4700,9,1,498
10100,22,1,374
18200,28,1,405
7500,16,1,454
1000,4,0,277
500,4,1,587
3000,8,0,220
16200,28,0,182
2300,7,1,478
542,4,0,-344
88477,48,0,433
4000,8,1,461
4000,10,0,385
2000,4,1,326
40400,36,1,343
4700,11,0,389
6000,14,0,298
500,2,1,433
700,4,1,681
7000,16,1,434
1500,3,1,226
5200,10,1,252
2800,8,1,443
40400,36,0,-442
2500,7,1,505
7600,18,0,291
1000,4,0,367
3000,8,0,-114
8000,16,1,153
5000,12,0,355
3500,9,0,-485
1100,5,0,453
600,4,1,544
12200,25,1,501
2303,5,1,301
10000,20,1,305
4700,11,0,329
1390,5,1,442
5200,13,1,266
5130,12,1,505
6000,12,1,454
1200,5,0,236
105200,50,0,113
1300,5,0,223
5007,10,1,419
1500,5,1,478
2500,7,0,372
600,4,1,515
3200,9,0,245
976,4,0,277
3000,8,1,351
1000,4,0,316
1147,5,0,205
2764,6,1,226
543,4,0,277
544,4,1,426
3000,8,0,122
2220,7,0,315
543,4,0,211
3979,10,1,192
2600,6,1,285
6000,14,0,493
2600,8,1,401
1800,6,1,340
500,4,1,508
543,4,0,329
8000,16,1,474
5050,12,1,354
5272,13,0,186
1000,2,1,535
9000,20,0,-12
5000,10,1,385
2000,4,1,431
12251,24,1,344
2000,6,1,370
700,4,0,414
3000,8,1,309
4434,11,1,289
3000,8,0,162
4000,10,1,424
4000,8,1,474
1661,6,0,357
1100,5,0,115
1500,3,1,508
1720,4,1,343
1000,2,1,594
500,4,0,556
6000,14,0,375
5000,10,1,394
4000,10,1,472
500,2,1,666
2500,7,1,610
6000,12,1,505
2400,7,1,399
6000,14,1,477
543,4,1,517
2000,6,0,269
4000,10,0,-486
500,4,0,-435
8500,20,1,401
1084,5,1,554
7000,16,0,374
1301,5,0,267
2229,7,1,412
3100,8,0,353
1200,5,1,430
1000,4,0,120
4000,10,0,401
600,4,0,-490
1000,2,1,573
3300,9,1,553
543,4,1,523
1672,4,1,539
2500,7,1,486
1219,5,1,312
3000,6,1,484
869,4,1,442
760,4,0,353
895,2,1,472
3587,9,1,408
2000,6,0,440
2229,7,1,371
700,4,0,-462
2200,7,1,531
5000,12,1,468
5000,10,1,362
4558,12,0,170
3500,7,1,364
500,4,1,540
6000,14,1,385
4000,8,1,451
14000,23,1,374
3000,6,1,329
7500,17,1,422
2786,8,0,405
15000,24,1,374
3000,8,1,483
543,4,0,322
667,2,1,550
1328,3,1,377
11000,20,1,257
2700,8,1,471
3000,8,0,222
3300,7,1,405
543,4,1,509
2830,8,1,403
2228,7,0,181
1000,4,0,432
3000,6,1,405
1000,4,0,138
1427,5,1,353
10000,22,1,433
4000,10,0,-336
11715,24,0,177
1000,4,1,661
4000,10,1,543
11000,20,1,454
500,4,1,511
1627,6,1,532
1500,3,1,582
6000,14,1,239
3400,9,1,314
2314,7,1,203
700,2,1,268
2000,4,1,498
1500,5,1,486
8000,16,1,374
1084,5,0,373
3580,7,1,332
1300,5,1,573
700,4,1,533
1200,5,0,511
6000,12,1,394
1084,5,0,212
1000,4,1,642
978,2,1,352
3317,9,1,439
9869,22,1,288
5500,11,1,433
1084,5,0,228
10000,22,1,385
5290,11,1,505
600,4,0,471
5000,12,1,560
11000,21,1,505
14500,24,1,413
2000,4,1,396
5000,12,1,561
543,4,1,522
4300,11,0,132
2245,7,1,505
6831,14,1,352
15000,26,1,454
9634,22,1,343
3000,8,1,166
5000,10,1,334
4000,8,1,552
7000,16,1,364
500,4,1,606
1200,3,1,622
1000,4,1,493
3409,9,0,-347
2500,7,1,364
543,4,1,436
6800,13,1,424
1115,5,0,-401
978,2,1,419
1109,5,0,-308
543,4,0,519
2893,8,0,-376
2217,5,1,549
3000,8,1,367
3500,9,1,433
760,4,1,502
2230,7,1,414
4564,11,0,167
543,4,0,342
12225,23,1,206
12000,23,0,-387
7800,19,1,604
5000,10,1,470
869,2,1,428
3423,9,1,-22
4500,11,0,553
4500,11,1,532
3423,9,1,436
543,2,1,535
2777,8,1,557
1000,2,1,651
1000,4,1,604
7400,17,1,87
7665,15,1,636
2893,8,0,-345
1400,5,1,535
2893,6,1,406
2230,7,1,452
2000,4,1,596
3761,8,1,537
2600,6,1,438
1700,6,1,631
6300,15,1,490
500,4,1,519
1500,5,1,405
1500,5,0,223
10000,21,0,-111
1000,4,0,-436
5000,12,0,-433
3000,8,1,395
6500,15,0,-333
8000,20,1,364
1000,4,0,-397
3300,9,1,287
2000,6,0,233
6000,14,1,198
1000,4,1,201
2600,8,0,-40
2000,6,1,550
3500,9,0,-456
1000,4,1,276
3300,7,1,361
3000,6,1,255
6000,14,0,471
2000,6,0,-336
1165,5,1,168
2000,6,0,-462
1000,4,0,-514
1500,5,1,312
2500,7,1,397
3000,8,1,460
3000,8,0,315
2000,6,1,448
7500,18,0,-430
1000,4,0,538
2500,7,1,258
3000,8,1,222
1400,3,1,285
10000,21,0,-371
2000,4,1,386
4500,11,1,329
4000,10,1,469
2115,7,0,470
10000,21,1,318
4300,11,1,416
3500,9,0,-54
1000,2,1,413
3500,7,1,517
1000,4,1,442
1000,4,0,-382
8000,18,1,405
3000,8,0,-280
5000,12,1,395
3000,8,0,-517
6000,14,1,476
11500,23,0,438
1000,4,1,362
3500,9,0,319
6500,15,1,114
5000,12,0,-423
1500,5,1,474
3000,6,1,422
1000,4,1,455
3700,8,1,259
1000,4,0,-412
1000,2,1,491
1600,6,0,236
2000,6,0,-396
3000,8,1,328
1000,4,1,377
1000,2,1,552
3000,8,0,-418
3500,9,1,559
3000,8,1,436
5000,12,1,478
1000,2,1,391
3000,8,0,-416
5000,12,1,332
3700,10,1,417
1200,5,0,348
2000,4,1,460
2500,5,1,515
4000,10,0,-400
1500,5,0,-369
2000,6,0,-322
2500,8,1,357
5000,12,0,-373
8900,19,0,347
6500,16,1,218
5000,12,0,-681
500,4,1,485
