LoanAmount0,LoanPeriod0,Good,PredictedGood0
7000,16,0,112
2355,7,1,453
1700,6,1,297
3000,8,1,433
600,4,1,567
1500,5,1,254
1300,5,1,257
543,4,1,527
3312,9,1,473
1000,2,1,394
5000,12,0,540
9000,22,1,374
8700,20,1,384
6750,16,1,505
1000,4,1,454
2000,6,1,625
10000,23,1,453
10000,19,1,325
10000,19,1,583
1000,4,1,360
6000,12,1,418
500,2,1,573
2000,6,1,364
1000,4,1,526
1890,6,1,305
1000,2,1,489
8000,16,1,547
1000,2,1,361
1000,2,1,543
12000,22,1,384
1650,6,1,530
1114,5,1,550
1000,2,1,537
4000,10,1,384
1000,4,0,502
3000,8,1,330
10000,20,1,474
1700,6,1,433
1800,4,1,521
2500,7,1,505
10000,19,1,357
10000,21,1,357
9580,19,1,397
652,4,1,424
12000,23,1,454
2000,6,0,470
869,2,1,510
543,2,1,369
5689,11,1,308
2900,6,1,495
4400,11,1,327
18850,31,1,394
19500,33,0,-346
5350,11,1,182
3500,9,1,429
8000,19,1,179
9000,21,0,-151
9000,19,1,-104
3000,6,1,447
6000,14,1,162
2500,5,1,238
5400,14,1,117
7200,16,0,-366
6600,15,0,-428
4700,11,1,263
3500,7,1,327
6000,14,1,215
2000,4,1,189
4700,11,0,65
82000,46,1,309
16200,29,1,457
7000,16,1,351
3500,9,1,-49
23200,35,1,163
650,2,1,339
4700,11,0,-475
6600,15,1,382
1000,2,1,272
600,2,1,567
4700,9,1,371
9200,21,0,-439
12200,24,1,322
14800,27,1,336
4700,11,0,182
8200,18,1,285
3000,8,1,288
71300,43,0,237
58000,40,0,161
4000,8,1,361
1500,5,1,88
18200,31,1,487
500,4,0,-454
4700,11,1,186
91200,47,1,127
6600,15,1,418
1000,2,1,253
800,4,1,332
2500,7,0,12
2000,6,1,290
2000,6,0,-674
46500,35,1,212
7000,16,1,271
63150,41,1,319
3000,6,1,7
21900,33,1,218
500,2,1,520
6200,14,1,223
4700,11,1,249
4700,11,1,109
4700,11,1,432
800,4,1,422
6100,12,1,319
9200,20,1,122
4000,10,1,171
108300,49,1,390
5250,13,1,395
8000,17,1,443
3000,6,1,245
38700,36,0,106
1000,2,1,245
1600,6,1,364
1200,3,1,472
5000,12,1,445
9200,21,0,304
5700,13,1,400
42300,36,1,302
1500,5,0,-476
30400,39,0,-222
500,4,1,373
1800,4,1,563
4700,9,1,146
58000,40,0,-403
4700,9,1,384
2000,6,1,565
2850,8,1,475
2000,6,1,365
1500,3,1,389
8000,18,1,405
106570,51,1,398
5700,13,1,360
10150,23,1,467
2000,4,1,293
1500,5,0,21
3000,8,1,252
9000,20,1,461
1400,5,1,402
32300,36,1,281
12200,24,1,356
1500,5,1,364
7500,16,1,433
5000,12,0,-436
8000,18,1,433
7000,14,1,26
2600,8,1,382
2000,6,0,-264
4000,10,1,402
13900,26,1,538
65300,39,1,274
10000,21,1,423
4700,11,1,481
31600,34,1,440
1500,5,1,264
6000,14,1,319
7000,15,1,426
8000,16,1,526
43500,39,0,-393
38700,37,1,352
8000,17,1,275
18200,30,1,539
5000,10,1,609
500,2,1,552
3850,8,1,510
15100,28,1,535
2000,6,1,274
2700,6,1,463
500,4,1,355
2100,5,1,424
75600,43,1,337
5900,12,1,331
9000,18,1,482
3000,8,0,-436
2800,6,1,403
3000,6,1,354
3000,8,0,227
1200,5,0,-218
4200,11,1,334
2200,7,1,123
43500,35,1,323
1000,4,1,375
17100,29,1,456
5700,11,1,275
9200,18,1,331
2000,6,0,537
1000,2,1,486
30400,33,1,402
11600,24,1,437
10000,21,1,406
3000,8,1,488
17400,30,1,239
2500,7,1,472
9125,20,0,510
860,4,1,436
6000,14,1,570
6600,16,1,480
5500,13,1,225
11600,24,0,256
106900,51,1,165
10000,21,1,433
4000,10,1,271
500,4,1,511
4700,12,1,280
131600,56,0,272
4000,8,1,426
8500,19,1,491
6000,13,1,384
2000,6,1,543
4000,8,1,244
24300,31,1,372
4700,9,1,296
10260,23,1,471
43500,37,1,353
58000,41,1,261
1000,4,1,188
10000,22,1,384
10800,23,1,502
24300,33,0,288
651,2,1,215
6800,13,1,433
4400,11,1,497
1000,4,1,442
5000,10,1,354
4000,10,1,382
5000,10,1,582
1659,4,1,395
2500,7,0,406
6000,12,1,606
2000,4,1,560
4500,9,1,329
1000,4,1,468
542,2,1,260
6950,16,1,375
3830,10,1,461
1000,4,0,-445
2862,8,0,-420
4120,10,1,382
2560,7,1,451
4500,11,1,403
1600,4,1,452
2000,4,1,265
4000,8,1,419
2226,7,0,-284
5200,12,1,505
760,2,1,277
5800,14,1,-17
2000,4,1,552
3312,7,1,505
5000,12,0,-3
1500,5,0,161
543,4,1,412
543,4,0,227
6110,15,0,66
10000,21,1,454
4000,10,1,388
2200,7,1,548
651,4,1,275
1000,4,1,282
543,4,1,191
6500,16,1,454
4700,12,1,466
5000,10,1,403
543,4,1,475
1670,6,0,453
1500,5,1,338
3700,10,1,372
3979,10,1,270
4500,11,1,543
2300,7,1,480
5242,13,1,573
6000,13,1,482
6000,12,1,439
868,4,1,433
2350,7,0,309
2408,5,1,241
2650,8,1,312
6422,15,1,296
2308,7,0,142
651,2,1,326
778,4,0,-290
1500,5,0,412
750,2,1,452
651,4,0,197
3757,10,1,12
2500,7,0,508
2000,4,1,473
1671,4,1,386
543,4,0,325
1200,5,1,370
750,2,1,681
1200,5,1,355
2228,7,0,456
3200,9,1,400
10000,21,1,296
1782,6,1,464
5300,11,1,382
2228,7,1,496
6250,15,0,343
1773,6,1,263
3000,6,1,383
6000,12,1,384
6700,15,1,374
6000,13,1,551
2229,7,1,425
1672,6,1,371
4250,11,1,343
2229,7,1,592
4444,11,1,514
6000,14,1,474
3000,6,1,492
2340,5,1,515
5200,12,1,384
8755,19,1,302
4558,11,0,-336
7350,16,1,420
8903,17,1,441
3000,8,1,418
5500,12,1,471
2200,7,1,552
4330,11,1,298
2750,8,1,203
1056,5,1,456
3703,10,1,409
3000,6,1,505
652,2,1,473
1000,4,1,526
3000,6,1,560
7000,16,1,364
4600,11,1,374
2000,6,1,384
652,2,1,360
2000,4,1,282
6000,14,1,386
2600,8,1,553
3300,7,1,349
2000,6,1,550
1500,3,1,424
10500,21,1,237
600,2,1,592
3000,8,1,305
7000,14,1,344
1115,5,0,146
4558,11,1,450
13600,23,1,323
4750,12,1,512
2893,8,1,198
543,4,1,548
5839,12,1,227
2500,5,1,45
2850,8,1,562
1000,2,1,447
3421,9,1,154
3000,8,1,321
6000,13,1,423
2000,4,1,293
6826,16,1,310
4600,9,1,489
3000,6,1,402
2564,7,1,450
3000,8,1,249
10000,19,1,391
7800,15,1,308
652,4,1,388
8200,18,1,249
5500,13,1,424
3260,9,0,195
8500,17,1,444
760,2,1,353
15000,24,1,298
3000,8,0,267
8500,17,1,295
3423,9,1,208
4545,11,0,272
1300,3,1,346
1000,2,1,226
3000,6,1,568
543,4,1,577
3950,8,1,424
3000,8,1,385
5871,12,1,129
543,4,1,209
2100,7,1,274
1084,5,1,425
10000,21,1,436
706,4,0,448
3318,9,1,292
1084,5,0,376
2000,4,1,491
8500,19,1,394
1100,5,1,353
1000,4,1,464
11000,22,1,388
543,4,1,534
543,4,1,407
13800,23,1,308
5200,12,1,605
600,2,1,665
8500,20,1,301
1996,4,1,556
760,2,1,297
4800,12,1,346
500,4,1,562
706,2,1,333
760,4,1,534
2230,7,1,411
2000,6,1,187
3800,10,1,426
543,4,1,580
5500,13,1,409
2000,4,1,505
1084,5,0,539
8000,18,1,339
543,4,0,385
3800,8,1,579
706,4,1,571
2000,6,1,297
5000,10,1,149
2000,6,1,297
543,2,1,479
7000,16,1,192
4500,11,1,279
99900,51,1,283
4100,10,1,163
12200,26,1,428
2900,6,1,370
43500,36,1,161
10800,22,1,191
3200,7,1,379
1850,6,0,196
7250,14,1,280
6700,15,1,339
3000,8,1,382
5700,11,1,216
3500,7,1,293
43500,37,1,226
6000,12,1,340
30400,34,0,-511
600,4,0,-20
7000,14,1,374
5000,10,1,418
4000,8,1,250
3000,6,1,417
92700,51,0,-527
8500,19,1,257
3000,8,1,344
2000,6,1,463
7000,16,0,110
28500,34,1,347
1800,6,0,-371
24300,32,1,233
107300,51,1,375
4700,9,1,539
18200,29,1,554
6150,12,1,561
5000,12,1,-178
4700,9,1,429
2000,6,1,435
500,4,1,538
2650,6,1,431
142500,53,1,193
33800,34,1,568
5850,14,1,460
23200,34,0,424
8000,18,1,453
5800,12,1,306
4000,10,1,483
6000,12,1,316
3000,6,1,610
9000,20,1,329
600,4,1,527
2400,7,1,432
1800,6,1,293
140200,53,1,306
1700,6,0,413
2000,6,0,346
1000,4,1,619
8000,19,1,325
8800,19,0,226
24300,32,1,356
4500,11,1,472
11600,23,0,-298
69400,42,1,411
43500,38,1,306
10000,21,1,385
5000,12,1,581
1500,5,1,488
4000,10,1,384
58000,41,0,-391
3150,9,1,405
12200,22,1,240
36000,35,1,-150
1300,5,1,638
6600,15,1,454
45000,37,1,394
6500,15,1,485
81300,45,1,375
4000,8,1,632
3405,9,0,-413
6000,14,1,305
83750,43,1,410
5000,12,1,561
3000,8,0,312
6000,15,1,530
5000,10,1,436
2000,6,0,-263
24300,32,1,262
2000,6,1,609
43500,37,1,410
6000,12,1,512
9600,20,1,485
58000,42,0,364
2500,5,1,399
3000,8,1,502
50800,38,1,388
5000,10,1,356
4721,12,1,534
10000,19,1,264
6000,14,1,227
2000,4,1,469
1667,6,1,438
8677,17,1,457
4000,8,1,531
3000,6,1,443
6500,15,1,560
2779,8,0,353
7600,17,1,430
543,2,1,413
6579,13,1,219
5000,12,1,364
6000,12,1,432
4500,11,1,326
4500,11,1,454
5100,12,0,303
5000,10,1,433
8000,19,1,461
9000,21,1,427
3312,9,1,549
7373,17,1,433
1500,3,1,680
1113,5,0,-327
1113,5,1,269
2550,7,1,372
5900,14,1,521
2000,4,1,407
7200,17,1,434
2308,5,1,389
2000,6,0,175
1500,5,1,465
2200,5,1,472
10000,22,1,331
6000,12,1,599
7000,15,1,436
1084,5,1,291
8600,19,1,432
4300,11,1,273
4000,8,1,541
7964,18,1,433
9500,22,1,325
500,2,1,594
4415,11,0,-425
4000,8,1,86
3000,8,0,-332
9000,20,1,405
3965,8,1,232
5000,11,1,514
2924,8,1,451
2000,6,1,411
5500,11,1,416
5100,10,1,-382
5000,10,1,492
1084,3,1,435
3900,10,1,445
13000,24,0,-142
4196,12,1,326
3000,6,1,544
2000,6,1,498
839,4,0,-414
6000,14,1,275
2000,6,1,436
5000,10,1,382
543,2,1,399
5900,16,1,323
7000,16,1,496
3500,9,1,433
3500,7,1,491
2500,5,1,436
2787,8,0,-372
2000,6,1,466
4089,8,1,403
543,4,1,535
3418,9,1,359
3500,7,1,562
2298,7,1,397
652,2,1,465
2500,7,1,478
7500,17,1,462
1561,6,1,429
11000,22,1,443
3000,8,1,530
1200,5,1,546
1500,3,1,614
15000,28,1,513
7037,16,0,-436
1700,6,0,170
7037,17,0,-436
7037,17,0,-436
1600,6,0,481
5500,13,0,-456
4119,10,0,-456
1671,6,1,358
3000,8,1,484
600,4,1,398
1500,3,1,267
7000,14,1,454
3000,8,1,510
8000,19,0,117
6000,14,1,451
4707,12,0,-457
3000,8,0,285
3531,9,0,-538
3531,9,0,-538
4000,10,1,465
10503,20,1,287
4968,10,1,327
10247,23,0,-455
600,4,0,397
8000,18,1,282
652,4,0,-292
500,4,1,585
1200,3,1,472
8219,18,1,323
3402,9,0,-593
5000,10,1,526
1663,4,1,504
500,4,1,636
6600,14,1,546
8650,20,1,456
4564,9,1,402
9000,21,1,566
9905,19,1,415
8032,18,1,206
5300,13,1,-37
33300,36,0,-106
18400,31,0,227
20700,32,1,285
9200,20,1,72
700,4,0,179
1530,6,1,423
24300,33,1,68
13800,26,1,325
5000,10,1,562
5000,10,1,354
10000,21,1,326
59500,40,1,254
9000,19,1,384
4000,10,1,361
5000,10,1,326
5000,10,1,278
5000,12,1,486
1000,4,1,626
17000,29,0,-109
6250,12,1,492
6638,15,1,361
5450,13,1,572
3000,6,1,535
2223,5,1,509
3000,8,0,317
5000,12,0,451
5000,10,1,589
7400,17,1,485
4300,11,1,629
4415,9,1,462
4554,11,1,295
4000,10,1,331
10000,19,1,530
3500,7,1,532
15000,26,1,394
10100,21,1,412
9200,18,1,513
3000,8,1,612
4000,8,1,406
1000,2,1,446
3000,6,1,604
5000,12,1,551
1672,6,1,468
8000,16,1,471
2000,6,1,584
4000,10,1,359
5000,12,1,385
5000,12,0,374
3318,9,1,567
3500,9,1,542
5200,12,1,412
1600,6,1,283
1000,4,0,340
9000,20,0,160
4500,12,0,264
1200,5,1,250
2400,7,1,358
4500,11,0,312
3000,8,1,298
4400,11,0,371
2000,4,1,229
2000,6,1,433
2200,5,1,294
3000,6,1,453
3000,6,1,388
4000,10,0,275
4600,9,1,284
1500,5,0,-388
43500,38,1,285
58000,39,1,157
23300,31,1,93
3000,6,1,302
4000,10,1,575
8500,17,1,474
2500,5,1,312
4500,11,1,599
5000,12,1,361
5000,12,1,505
33800,35,1,473
24300,31,1,382
3800,10,0,421
1500,5,1,584
10000,20,1,275
5500,13,1,308
1500,5,0,130
2000,6,0,622
18200,29,1,267
3300,7,1,303
1600,6,1,384
5000,12,1,493
6200,12,1,531
3500,7,1,403
12200,24,1,365
3700,10,1,467
5000,12,1,482
5700,11,1,478
10000,21,1,541
7625,16,1,510
38700,36,1,120
3000,6,1,462
3000,6,1,383
10000,22,0,25
10000,21,1,17
8000,19,1,254
2500,7,0,563
6000,12,1,285
10000,21,0,416
5900,12,1,433
2000,6,1,485
1000,2,1,307
6000,14,1,347
24300,33,1,539
10800,22,1,468
3700,10,1,489
2500,7,1,443
2000,6,1,378
3973,10,0,-442
3000,6,1,330
6000,14,1,260
2500,7,1,299
2500,7,1,274
6000,12,1,371
7500,17,1,372
3000,8,1,192
9200,20,1,454
10000,21,1,417
2250,5,1,317
10000,21,1,368
1650,4,1,309
3000,9,0,325
1700,4,1,436
500,4,1,454
10000,20,1,433
2000,4,1,436
1200,3,1,391
2000,4,1,283
2000,6,0,289
11000,20,1,350
5350,11,1,543
3000,8,1,612
2500,7,0,437
1700,4,1,306
2400,5,1,394
10000,20,1,337
2000,4,1,391
2000,6,1,457
3500,9,1,343
5000,12,1,416
3500,7,1,402
8500,19,1,424
7500,17,1,364
1600,4,1,270
5000,12,1,506
4000,8,1,279
500,4,1,623
760,4,1,359
1500,3,1,365
5000,10,1,405
2000,4,1,437
3000,8,0,383
3000,8,1,449
1750,6,1,379
10500,20,1,433
2500,5,1,279
1500,5,1,314
667,2,1,515
7300,14,1,318
3000,6,1,510
15000,26,1,328
3000,8,1,397
3000,8,1,490
1400,5,1,565
6350,13,1,505
4000,10,1,274
10000,19,1,433
2777,8,1,449
7750,17,1,452
1100,5,1,474
2000,4,1,488
5750,13,1,581
1800,4,1,364
7402,15,1,283
760,2,1,131
890,4,1,324
7200,17,1,344
12700,23,1,485
750,4,1,677
5600,13,1,386
3500,9,1,474
1500,5,0,544
600,4,1,659
3423,9,0,-43
5300,13,1,346
779,2,1,587
3423,9,0,-322
500,4,1,698
1035,3,1,546
1000,4,0,472
1000,4,1,604
3000,6,1,359
3000,8,1,308
3000,8,1,138
3000,8,1,490
3000,8,1,236
5000,10,1,511
5000,10,1,473
107000,51,1,160
3200,9,1,275
24300,33,1,376
71500,45,1,283
52200,37,1,182
24300,32,1,312
15900,27,1,115
3000,6,1,347
10000,21,1,322
5325,11,1,319
55600,40,1,438
4200,9,1,364
3000,8,1,430
5000,10,1,355
5000,10,1,429
5000,12,1,432
85500,46,1,336
8000,18,1,110
10000,19,1,4
1500,5,1,277
2000,4,1,478
17760,29,1,351
10000,22,1,193
114000,54,1,382
18200,30,1,382
142500,58,1,361
10000,21,1,384
5000,13,1,502
1750,4,1,423
40400,36,0,139
24300,33,0,298
10000,23,1,385
44500,36,1,264
33800,34,0,465
38700,38,0,-469
4700,11,1,581
18200,31,1,534
865,2,1,450
23700,33,0,284
3000,8,1,564
1000,2,1,303
10000,19,1,454
4500,9,1,474
5000,12,0,205
3000,8,1,471
3000,8,0,560
3000,8,0,-444
7500,15,1,195
3500,9,1,98
7000,16,1,505
3312,7,1,532
2500,7,0,-490
10000,21,1,323
1300,5,1,474
1500,3,1,480
2000,6,1,342
10000,22,1,288
4548,11,1,432
2650,8,1,385
10000,21,1,474
7000,15,1,436
3400,7,1,326
9000,18,1,416
1300,5,1,508
3000,8,1,535
3316,9,0,-324
1000,2,1,632
2229,7,0,-304
5000,12,1,385
2229,7,1,361
5700,11,1,314
3421,9,1,354
1672,4,1,485
1500,5,1,391
2500,5,1,305
7395,18,1,413
7736,17,1,160
5000,10,1,584
9000,21,1,461
11300,21,1,561
3423,9,1,197
8650,17,1,467
1193,3,1,498
4700,12,0,395
7000,14,1,508
7000,14,1,328
3730,8,1,405
10000,21,1,388
2500,7,0,44
10000,20,1,433
4500,10,1,82
24300,34,1,370
2700,8,1,319
10000,21,1,235
7000,16,0,-420
1000,4,1,309
3000,8,0,132
2000,6,1,271
7500,15,1,320
7200,15,1,453
3000,6,1,378
1000,2,1,215
5600,14,1,292
58000,40,1,233
5000,12,0,-557
24300,30,1,371
1400,5,1,211
5000,12,1,173
4100,10,0,-32
8500,18,1,220
7000,16,1,481
34000,33,1,111
1200,5,1,377
1000,4,1,367
1200,5,0,-450
1200,5,0,-325
12200,25,0,70
9200,18,1,444
4700,11,1,415
6690,15,1,438
4600,11,0,230
5000,12,1,418
4700,11,1,433
2500,5,1,243
4000,10,1,353
1050,5,1,538
6000,13,1,282
2100,7,1,542
8500,19,1,271
6600,13,1,296
4000,10,1,525
2000,6,0,237
14600,24,1,495
1200,5,0,258
6500,15,1,474
4000,10,1,416
2500,7,1,496
4000,10,1,291
8000,18,1,474
3000,8,1,512
7600,15,1,385
3308,9,1,422
3000,8,0,258
13400,24,1,562
2500,7,1,411
5500,13,0,-521
4600,10,1,511
16200,28,1,239
3973,10,1,74
1500,5,1,399
1900,6,1,156
1500,5,1,474
5700,11,1,432
2500,7,1,394
2500,5,1,454
5000,10,1,393
2000,4,1,342
12200,24,1,231
4600,11,0,243
10000,19,1,405
3000,8,0,-538
1000,4,1,248
3000,8,0,595
7500,17,1,470
5400,11,1,567
4000,10,1,582
2750,8,0,-337
4550,11,1,582
4000,10,1,450
16200,28,1,349
3750,10,1,289
4500,9,1,384
2900,8,1,357
6200,14,1,582
2000,6,1,596
7300,16,1,241
5500,13,1,398
7500,17,1,217
4000,10,0,293
1900,6,1,562
543,4,1,519
5495,13,1,411
6500,15,0,476
3500,9,1,309
6000,14,0,156
10000,21,1,405
6200,12,1,491
4000,8,1,327
2200,7,0,200
4500,11,1,323
6000,14,1,452
3000,6,1,517
11000,20,1,379
1113,5,1,377
1000,4,1,512
7000,16,1,465
1000,4,0,-33
3000,8,1,416
5000,12,1,505
8000,19,1,405
4548,9,1,381
5800,14,1,546
4500,11,1,485
4000,8,1,541
3000,6,1,567
10500,22,1,433
4000,8,1,507
5000,12,1,461
500,4,0,-382
3600,9,1,341
11000,20,1,384
2000,6,0,16
2229,7,1,178
1337,5,1,321
6000,14,1,326
2000,6,1,274
2500,7,1,433
1400,5,0,-558
1500,3,1,492
10000,21,1,385
3000,8,1,501
1100,3,1,538
1900,4,1,424
6000,12,1,454
5700,13,1,491
1500,3,1,233
760,4,1,395
1000,4,1,227
5000,12,0,141
4000,10,0,-424
3000,6,1,423
2000,6,1,388
10000,20,1,261
1084,5,1,421
5950,12,1,453
8000,16,1,405
3000,6,1,292
15000,26,1,402
14000,23,1,443
1000,2,1,246
3000,8,1,342
500,4,0,-394
500,4,0,-427
760,4,1,450
3560,7,1,364
2500,7,0,-421
1084,5,0,362
1084,3,1,493
7000,17,0,-472
543,2,1,341
3500,9,1,462
800,4,0,-466
1600,6,1,472
2000,6,1,474
2500,7,1,195
2500,7,1,365
2000,6,1,526
6500,15,0,364
4000,10,0,-568
5000,10,1,417
1000,4,0,-473
3500,9,1,546
8000,18,1,433
760,4,1,604
1115,3,1,529
10000,21,1,505
4000,8,1,532
1000,4,0,-447
2000,4,1,405
6000,14,1,329
6000,13,1,339
7000,16,1,605
6000,14,1,356
2000,6,1,551
8000,16,1,356
1109,5,1,309
1895,6,1,277
3200,9,1,545
7550,17,1,468
1000,4,1,746
815,4,1,655
6000,14,1,467
2500,7,1,279
9200,18,1,115
1500,5,1,484
7500,17,1,399
58000,39,1,184
6000,12,1,225
6000,14,1,156
9000,20,0,218
7000,17,0,451
4300,9,1,344
3800,10,0,-558
9500,21,1,188
8150,18,1,361
2000,6,1,379
24300,30,1,369
99800,51,1,213
50800,36,1,-12
3000,8,1,242
12150,22,1,102
2000,6,1,258
4520,11,1,425
3600,7,1,328
8000,18,1,217
10000,21,1,181
1200,5,1,315
2000,4,1,-47
6000,14,1,385
6000,14,1,433
10000,21,0,355
23100,31,1,203
8000,19,1,166
4700,11,1,310
50800,36,1,125
3500,9,1,341
48600,38,0,353
6000,12,1,205
4500,11,1,670
5000,12,1,334
3200,9,1,579
71300,42,1,231
4600,11,1,278
4000,8,1,437
4700,9,1,159
6500,13,1,385
20700,32,1,463
5000,13,1,503
10000,21,1,523
18200,31,1,428
5300,11,1,150
8500,17,1,384
50800,38,0,395
3083,8,1,510
4000,10,1,436
47150,39,1,451
1430,5,1,570
3000,6,1,527
9700,21,1,407
7050,16,1,479
6500,13,1,188
3500,9,0,472
2000,6,1,471
109700,52,1,403
18200,29,1,523
4200,11,1,433
4600,9,1,482
4000,10,1,337
10000,21,1,453
3500,9,1,369
18400,30,1,467
55600,41,1,274
6500,16,1,543
4300,11,1,405
7000,14,1,405
1000,4,1,550
5500,13,1,153
4000,8,1,385
4000,10,1,159
3400,7,1,212
4500,11,1,430
1000,2,1,405
3800,8,1,362
9200,20,1,453
7000,16,1,416
9200,19,1,304
3000,8,1,651
3200,7,1,321
10000,22,1,274
3600,9,1,582
3250,9,1,592
2700,8,1,495
2000,6,0,389
43500,35,1,302
12221,22,1,212
4300,11,1,297
9000,18,1,363
11905,23,1,300
1667,6,1,529
7000,14,1,560
5600,11,1,433
3500,9,1,381
3405,9,0,360
5663,13,1,278
4750,12,1,384
6500,13,1,485
2500,7,1,333
3000,8,1,481
4600,11,0,560
3600,7,1,513
5000,12,1,465
4000,10,1,226
4500,9,1,335
9600,19,1,196
10000,22,1,413
5000,12,1,285
3500,9,1,323
3000,8,1,329
5816,12,1,187
5000,12,0,305
10000,19,1,505
7373,17,0,349
7000,14,1,433
9700,21,1,343
6500,15,1,409
10000,21,1,560
8500,18,1,305
9200,18,1,428
4500,11,1,374
6225,12,1,360
4700,9,1,336
3500,9,1,512
4000,11,1,505
8800,17,1,282
7570,16,1,401
2500,7,1,384
1720,4,1,306
3500,9,1,416
1000,2,1,442
10000,21,1,365
1000,2,1,264
8000,18,1,411
500,4,0,118
9550,22,1,384
10000,19,1,453
10000,20,1,441
6000,12,1,384
8000,16,1,421
6000,14,1,451
10000,21,1,461
1000,2,1,592
1500,5,0,327
7991,16,1,332
1500,5,1,421
8050,18,1,64
7850,17,1,351
3644,7,1,450
8000,16,1,322
4000,10,1,561
12500,23,1,581
7376,17,0,402
1518,5,0,294
3000,8,1,329
2550,5,1,415
5000,12,1,418
2000,4,1,293
9379,19,1,308
4000,8,1,558
6800,15,1,442
4000,10,1,411
5684,13,0,-472
13500,25,1,453
1200,5,1,295
1500,5,1,576
6821,13,1,255
2000,4,1,452
4000,10,0,170
4558,11,1,328
784,2,1,434
2000,6,1,433
1860,6,1,433
6000,12,1,385
7600,15,1,322
5850,12,1,357
3500,9,0,-84
7400,15,1,349
7500,18,0,442
8500,19,1,305
5000,10,1,505
3050,8,1,430
3000,8,1,419
700,4,0,-507
5000,12,1,398
7000,16,0,462
10200,23,1,323
5000,12,0,407
6080,14,0,308
10600,23,1,405
4561,11,1,215
1425,5,1,239
7500,15,1,384
4000,10,1,505
7500,18,1,543
1000,2,1,643
6000,14,0,453
7000,14,1,371
5300,13,1,434
5500,13,1,353
6500,15,1,304
3000,8,0,464
2000,6,1,601
4600,11,1,488
4542,9,1,-21
7000,17,1,304
6000,14,1,560
500,4,0,578
1000,4,1,541
9000,20,1,305
1000,4,0,304
2898,8,1,509
1115,5,1,505
10000,21,1,349
10000,21,1,605
10000,22,1,223
3706,10,1,403
10000,23,1,597
3000,8,1,191
4000,10,1,473
2800,8,1,340
4400,11,1,498
1000,2,1,259
900,2,1,511
7200,16,0,30
6150,14,1,386
2000,6,1,388
24300,33,1,329
50800,38,1,251
2000,6,1,391
3000,8,1,260
2000,6,0,283
1000,4,0,435
41100,36,1,94
4700,11,0,227
2500,7,1,408
19700,29,1,160
500,4,0,-258
1500,5,1,348
69800,44,1,339
500,4,1,353
1000,4,0,-335
17000,29,1,401
24300,34,0,-493
3000,6,1,446
18200,32,0,-484
500,2,1,482
4500,11,0,360
50800,36,1,5
5500,11,1,357
2300,7,0,-465
1400,5,1,485
2000,4,1,265
2000,6,1,498
600,2,1,369
8000,17,1,305
1500,3,1,449
40400,39,1,302
2000,6,1,183
32300,35,0,254
500,4,1,545
2000,6,1,161
1000,2,1,235
53060,38,1,367
6500,15,1,144
1500,5,1,-41
53700,39,1,252
1000,4,1,477
8500,19,1,260
2000,4,1,302
5300,13,1,251
4700,11,1,330
1000,4,1,471
4700,9,1,394
1000,4,1,212
1500,3,1,-44
1230,5,1,436
3500,7,1,401
3800,10,1,550
9200,21,1,362
8000,16,1,416
4700,11,0,-387
5000,12,1,529
8800,19,0,187
500,2,1,446
500,4,0,-391
5000,10,1,419
131500,53,1,292
15800,28,1,571
62800,39,1,338
2500,5,1,347
4500,11,0,-296
1000,4,1,232
4000,8,1,433
1000,4,1,451
9500,21,1,416
1500,5,1,254
5000,13,1,337
4000,10,1,385
7000,14,1,553
1000,4,0,-189
2000,6,1,451
1000,4,1,496
10000,21,1,461
11600,23,0,311
5000,12,1,603
5000,12,1,364
1300,5,1,481
5000,12,1,334
6400,15,1,485
1700,4,1,492
3000,8,1,535
9200,21,1,581
1000,2,1,491
43500,35,1,274
23200,34,1,520
74100,43,1,411
4700,11,1,305
1400,3,1,443
11600,24,1,164
131500,58,1,370
4000,10,1,298
5300,13,1,472
1500,5,1,392
5700,11,1,329
4700,11,1,451
6000,12,1,552
2000,6,1,302
1500,3,1,401
9200,20,1,302
2000,6,1,364
2275,5,1,309
3000,8,1,433
2850,8,1,374
10000,20,1,384
4000,10,0,-470
4000,10,0,3
4000,10,0,3
6600,15,1,481
1700,4,1,326
2000,6,1,582
675,4,0,-225
9200,21,1,429
7050,16,0,481
2000,6,1,450
10000,19,1,485
600,4,1,602
2500,7,1,363
7000,16,0,-296
7500,17,1,354
1000,4,1,478
4000,8,1,433
3000,8,0,330
2000,4,1,453
9000,20,1,473
3000,8,1,440
58000,40,1,408
24300,33,1,536
500,2,1,635
10000,21,1,474
3300,7,1,548
10000,21,1,364
5000,10,1,175
2000,4,1,474
3300,7,1,421
33800,34,0,-385
4700,11,0,-386
2600,6,1,344
4900,12,1,491
2200,7,1,234
4700,11,0,-395
3000,6,1,476
6100,14,1,529
7000,16,1,439
32150,35,1,584
1200,3,1,351
4700,9,1,318
7500,16,1,364
2000,6,1,301
4000,10,1,541
4500,11,1,421
1860,4,1,439
7000,16,0,-512
4400,11,0,353
2900,8,1,283
3000,8,1,385
2000,6,0,-455
122700,59,1,209
2000,6,1,456
10000,21,1,416
8500,17,1,405
4700,11,1,442
500,2,1,504
3000,8,0,-463
3300,7,1,373
1000,2,1,531
4000,8,1,492
6300,13,1,461
31600,32,1,504
4500,11,1,474
2000,4,1,582
112600,53,1,419
4000,10,1,515
2000,6,1,544
1000,2,1,451
16200,28,1,523
18200,30,1,397
