ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0,OptimizedLoanAmount,OptimizedLoanPeriod,OptimizedPredictedGood
101164,1000,2,1,277,0.0,0.0,0.0
103471,43500,38,1,130,0.0,0.0,0.0
112431,3994,10,1,227,0.0,0.0,0.0
115919,3000,6,1,274,0.0,0.0,0.0
115932,5000,13,0,-441,0.0,0.0,0.0
116677,2872,8,1,254,0.0,0.0,0.0
118092,7000,14,1,291,0.0,0.0,0.0
