ClientId,LoanAmount0,LoanPeriod0,Good,PredictedGood0
100428,3000,8,1,367
100430,9200,21,1,483
100433,3000,8,1,364
100434,2500,5,1,384
100435,8000,17,1,491
100436,7500,17,1,385
100437,6000,14,1,365
100439,5000,12,1,505
100441,6000,14,1,468
100442,4700,9,1,498
100443,10100,22,1,374
100444,18200,28,1,405
100445,7500,16,1,454
100447,500,4,1,587
100450,2300,7,1,478
100452,88477,48,0,433
100453,4000,8,1,461
100454,4000,10,0,385
100457,4700,11,0,389
100459,500,2,1,433
100460,700,4,1,681
100461,7000,16,1,434
100464,2800,8,1,443
100466,2500,7,1,505
100468,1000,4,0,367
100471,5000,12,0,355
100473,1100,5,0,453
100474,600,4,1,544
100475,12200,25,1,501
100479,1390,5,1,442
100481,5130,12,1,505
100482,6000,12,1,454
100486,5007,10,1,419
100487,1500,5,1,478
100488,2500,7,0,372
100489,600,4,1,515
100492,3000,8,1,351
100497,544,4,1,426
100503,6000,14,0,493
100504,2600,8,1,401
100506,500,4,1,508
100508,8000,16,1,474
100509,5050,12,1,354
100511,1000,2,1,535
100513,5000,10,1,385
100514,2000,4,1,431
100516,2000,6,1,370
100517,700,4,0,414
100521,4000,10,1,424
100522,4000,8,1,474
100523,1661,6,0,357
100525,1500,3,1,508
100527,1000,2,1,594
100528,500,4,0,556
100529,6000,14,0,375
100530,5000,10,1,394
100531,4000,10,1,472
100532,500,2,1,666
100533,2500,7,1,610
100534,6000,12,1,505
100535,2400,7,1,399
100536,6000,14,1,477
100537,543,4,1,517
100541,8500,20,1,401
100542,1084,5,1,554
100543,7000,16,0,374
100545,2229,7,1,412
100546,3100,8,0,353
100547,1200,5,1,430
100549,4000,10,0,401
100551,1000,2,1,573
100552,3300,9,1,553
100553,543,4,1,523
100554,1672,4,1,539
100555,2500,7,1,486
100557,3000,6,1,484
100558,869,4,1,442
100559,760,4,0,353
100560,895,2,1,472
100561,3587,9,1,408
100562,2000,6,0,440
100563,2229,7,1,371
100565,2200,7,1,531
100566,5000,12,1,468
100567,5000,10,1,362
100569,3500,7,1,364
100570,500,4,1,540
100571,6000,14,1,385
100572,4000,8,1,451
100573,14000,23,1,374
100575,7500,17,1,422
100576,2786,8,0,405
100577,15000,24,1,374
100578,3000,8,1,483
100580,667,2,1,550
100581,1328,3,1,377
100583,2700,8,1,471
100585,3300,7,1,405
100586,543,4,1,509
100587,2830,8,1,403
100589,1000,4,0,432
100590,3000,6,1,405
100592,1427,5,1,353
100593,10000,22,1,433
100596,1000,4,1,661
100597,4000,10,1,543
100598,11000,20,1,454
100599,500,4,1,511
100600,1627,6,1,532
100601,1500,3,1,582
100606,2000,4,1,498
100607,1500,5,1,486
100608,8000,16,1,374
100609,1084,5,0,373
100611,1300,5,1,573
100612,700,4,1,533
100613,1200,5,0,511
100614,6000,12,1,394
100616,1000,4,1,642
100617,978,2,1,352
100618,3317,9,1,439
100620,5500,11,1,433
100622,10000,22,1,385
100623,5290,11,1,505
100624,600,4,0,471
100625,5000,12,1,560
100626,11000,21,1,505
100627,14500,24,1,413
100628,2000,4,1,396
100629,5000,12,1,561
100630,543,4,1,522
100632,2245,7,1,505
100633,6831,14,1,352
100634,15000,26,1,454
100638,4000,8,1,552
100639,7000,16,1,364
100640,500,4,1,606
100641,1200,3,1,622
100642,1000,4,1,493
100644,2500,7,1,364
100645,543,4,1,436
100646,6800,13,1,424
100648,978,2,1,419
100650,543,4,0,519
