ClientId,Good,PredictedGood0,OptimizedClientScoreWithRoundedValues,LoanAmount0,LoanPeriod0,RoundedOptimizedLoanAmount,RoundedOptimizedLoanPeriod,Deviation,dLAmount,dLPeriod,Reject2Accept,,,,threshold
113900,0,289,353.0796188,65300,43,65100,44,6.25E-05,0.3063%,2.3256%,1,3255,,,
112452,1,318,378.3238848,45750,40,45700,41,6.36E-05,0.1093%,2.5000%,1,2285,,,
107403,1,293,357.0796188,71300,42,71100,43,6.38E-05,0.2805%,2.3810%,1,3555,,,
106542,1,339,399.9498405,60575,40,60500,41,6.39E-05,0.1238%,2.5000%,1,3025,,,
104407,1,319,381.8277074,63150,41,63000,42,6.46E-05,0.2375%,2.4390%,1,3150,,,
110127,1,306,367.5757961,60600,40,60500,41,6.50E-05,0.1650%,2.5000%,1,3025,,,
101914,1,292,353.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
106708,1,327,388.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
108456,1,335,396.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
109475,1,341,402.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
115996,1,340,401.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
116871,1,336,397.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
118626,1,332,393.5757961,58000,40,57900,41,6.52E-05,0.1724%,2.5000%,1,2895,,,
105738,1,338,399.5757961,62800,39,62700,40,6.80E-05,0.1592%,2.5641%,1,3135,,,
114118,1,319,380.5757961,58000,39,57900,40,6.84E-05,0.1724%,2.5641%,1,2895,,,
101368,1,319,380.5757961,55600,39,55500,40,6.87E-05,0.1799%,2.5641%,1,2775,,,
110505,0,313,374.5757961,55100,39,55000,40,6.87E-05,0.1815%,2.5641%,1,2750,,,
107883,1,296,357.5757961,53800,39,53700,40,6.89E-05,0.1859%,2.5641%,1,2685,,,
100965,1,332,393.5757961,50800,39,50700,40,6.92E-05,0.1969%,2.5641%,1,2535,,,
105706,1,302,363.5757961,40400,39,40300,40,7.13E-05,0.2475%,2.5641%,1,2015,,,
102565,1,321,382.5757961,58000,38,57900,39,7.19E-05,0.1724%,2.6316%,1,2895,,,
113554,1,336,397.5757961,55600,38,55500,39,7.22E-05,0.1799%,2.6316%,1,2775,,,
113821,1,308,369.5757961,50800,38,50700,39,7.27E-05,0.1969%,2.6316%,1,2535,,,
114654,1,344,405.5757961,48500,38,48400,39,7.31E-05,0.2062%,2.6316%,1,2420,,,
114911,1,338,399.5757961,46900,38,46800,39,7.33E-05,0.2132%,2.6316%,1,2340,,,
111916,1,341,402.5757961,45000,38,44900,39,7.37E-05,0.2222%,2.6316%,1,2245,,,
113737,1,294,355.5757961,45000,38,44900,39,7.37E-05,0.2222%,2.6316%,1,2245,,,
118509,1,329,390.5757961,45000,38,44900,39,7.37E-05,0.2222%,2.6316%,1,2245,,,
104795,1,306,367.5757961,43500,38,43400,39,7.40E-05,0.2299%,2.6316%,1,2170,,,
112938,1,319,380.5757961,43500,38,43400,39,7.40E-05,0.2299%,2.6316%,1,2170,,,
112963,0,304,365.5757961,43500,38,43400,39,7.40E-05,0.2299%,2.6316%,1,2170,,,
114144,1,335,396.5757961,43500,38,43400,39,7.40E-05,0.2299%,2.6316%,1,2170,,,
114412,1,325,386.5757961,43500,38,43400,39,7.40E-05,0.2299%,2.6316%,1,2170,,,
118126,1,316,377.5757961,43500,38,43400,39,7.40E-05,0.2299%,2.6316%,1,2170,,,
116039,1,326,387.5757961,38700,38,38600,39,7.53E-05,0.2584%,2.6316%,1,1930,,,
101128,1,333,394.5757961,53700,37,53600,38,7.62E-05,0.1862%,2.7027%,1,2680,,,
116608,1,319,380.5757961,45300,37,45200,38,7.74E-05,0.2208%,2.7027%,1,2260,,,
109919,1,300,361.5757961,43700,37,43600,38,7.78E-05,0.2288%,2.7027%,1,2180,,,
100969,1,339,400.5757961,43500,37,43400,38,7.78E-05,0.2299%,2.7027%,1,2170,,,
107643,1,296,357.5757961,43500,37,43400,38,7.78E-05,0.2299%,2.7027%,1,2170,,,
112746,1,344,405.5757961,43500,37,43400,38,7.78E-05,0.2299%,2.7027%,1,2170,,,
116345,0,300,361.5757961,43500,37,43400,38,7.78E-05,0.2299%,2.7027%,1,2170,,,
112304,1,329,390.5757961,42300,37,42200,38,7.81E-05,0.2364%,2.7027%,1,2110,,,
108922,1,329,390.5757961,40400,37,40300,38,7.86E-05,0.2475%,2.7027%,1,2015,,,
111596,1,328,389.5757961,40400,37,40300,38,7.86E-05,0.2475%,2.7027%,1,2015,,,
103837,1,291,351.6243435,35562,36,35500,37,7.99E-05,0.1743%,2.7778%,1,1775,,,
115775,1,338,399.5757961,50800,36,50700,37,8.06E-05,0.1969%,2.7778%,1,2535,,,
106687,1,296,358.8277074,51550,37,51400,38,8.07E-05,0.2910%,2.7027%,1,2570,,,
103113,1,343,404.5757961,46400,36,46300,37,8.13E-05,0.2155%,2.7778%,1,2315,,,
102775,1,329,390.5757961,45000,36,44900,37,8.16E-05,0.2222%,2.7778%,1,2245,,,
102818,1,326,387.5757961,45000,36,44900,37,8.16E-05,0.2222%,2.7778%,1,2245,,,
109203,1,340,401.5757961,45000,36,44900,37,8.16E-05,0.2222%,2.7778%,1,2245,,,
101554,1,341,402.5757961,43500,36,43400,37,8.19E-05,0.2299%,2.7778%,1,2170,,,
109497,1,333,394.5757961,43500,36,43400,37,8.19E-05,0.2299%,2.7778%,1,2170,,,
115045,1,345,406.5757961,43500,36,43400,37,8.19E-05,0.2299%,2.7778%,1,2170,,,
116059,0,338,399.5757961,43100,36,43000,37,8.20E-05,0.2320%,2.7778%,1,2150,,,
104430,1,302,363.5757961,42300,36,42200,37,8.22E-05,0.2364%,2.7778%,1,2110,,,
109080,1,336,397.5757961,41500,36,41400,37,8.24E-05,0.2410%,2.7778%,1,2070,,,
100456,1,343,404.5757961,40400,36,40300,37,8.27E-05,0.2475%,2.7778%,1,2015,,,
101375,1,303,364.5757961,40400,36,40300,37,8.27E-05,0.2475%,2.7778%,1,2015,,,
111600,1,323,384.5757961,40400,36,40300,37,8.27E-05,0.2475%,2.7778%,1,2015,,,
102026,1,291,352.5757961,27900,37,27800,38,8.46E-05,0.3584%,2.7027%,1,1390,,,
105892,1,321,382.5757961,32300,36,32200,37,8.58E-05,0.3096%,2.7778%,1,1610,,,
111571,1,302,363.5757961,32300,36,32200,37,8.58E-05,0.3096%,2.7778%,1,1610,,,
115999,1,291,352.5757961,32300,36,32200,37,8.58E-05,0.3096%,2.7778%,1,1610,,,
116019,1,337,398.5757961,32300,36,32200,37,8.58E-05,0.3096%,2.7778%,1,1610,,,
101754,1,314,375.5757961,45000,35,44900,36,8.61E-05,0.2222%,2.8571%,1,2245,,,
104492,1,323,384.5757961,43500,35,43400,36,8.64E-05,0.2299%,2.8571%,1,2170,,,
105534,1,302,363.5757961,43500,35,43400,36,8.64E-05,0.2299%,2.8571%,1,2170,,,
107155,1,348,409.5757961,43500,35,43400,36,8.64E-05,0.2299%,2.8571%,1,2170,,,
110039,1,336,397.5757961,43500,35,43400,36,8.64E-05,0.2299%,2.8571%,1,2170,,,
110668,1,326,387.5757961,43500,35,43400,36,8.64E-05,0.2299%,2.8571%,1,2170,,,
100959,1,342,403.5757961,30400,36,30300,37,8.69E-05,0.3289%,2.7778%,1,1515,,,
111667,1,305,366.5757961,37200,35,37100,36,8.81E-05,0.2688%,2.8571%,1,1855,,,
112499,0,328,389.5757961,33800,35,33700,36,8.95E-05,0.2959%,2.8571%,1,1685,,,
109964,1,304,365.5757961,32300,35,32200,36,9.03E-05,0.3096%,2.8571%,1,1610,,,
112311,1,305,366.5757961,31000,35,30900,36,9.10E-05,0.3226%,2.8571%,1,1545,,,
106921,1,322,383.5757961,30400,35,30300,36,9.14E-05,0.3289%,2.8571%,1,1515,,,
115196,1,301,362.5757961,30400,35,30300,36,9.14E-05,0.3289%,2.8571%,1,1515,,,
116408,1,308,369.5757961,30400,35,30300,36,9.14E-05,0.3289%,2.8571%,1,1515,,,
113313,1,293,354.5757961,38800,34,38700,35,9.25E-05,0.2577%,2.9412%,1,1935,,,
113368,1,330,391.5757961,33800,34,33700,35,9.44E-05,0.2959%,2.9412%,1,1685,,,
114124,1,340,401.5757961,33800,34,33700,35,9.44E-05,0.2959%,2.9412%,1,1685,,,
102032,1,342,403.5757961,25900,35,25800,36,9.50E-05,0.3861%,2.8571%,1,1290,,,
108158,1,298,359.5757961,32300,34,32200,35,9.51E-05,0.3096%,2.9412%,1,1610,,,
115337,1,302,363.5757961,32300,34,32200,35,9.51E-05,0.3096%,2.9412%,1,1610,,,
116733,1,307,368.5757961,30400,34,30300,35,9.62E-05,0.3289%,2.9412%,1,1515,,,
112478,1,313,373.8246493,29770,33,29700,34,9.68E-05,0.2351%,3.0303%,1,1485,,,
112691,1,318,379.5757961,24300,35,24200,36,9.69E-05,0.4115%,2.8571%,1,1210,,,
117465,0,300,361.5757961,29200,34,29100,35,9.71E-05,0.3425%,2.9412%,1,1455,,,
104760,1,347,408.5757961,28500,34,28400,35,9.76E-05,0.3509%,2.9412%,1,1420,,,
110104,1,301,363.8277074,39650,34,39500,35,9.94E-05,0.3783%,2.9412%,1,1975,,,
114407,1,309,370.5757961,33800,33,33700,34,9.97E-05,0.2959%,3.0303%,1,1685,,,
101735,1,328,389.5757961,32300,33,32200,34,0.000100454,0.3096%,3.0303%,1,1610,,,
109885,1,301,360.9483114,18535,32,18500,33,0.000100865,0.1888%,3.1250%,1,925,,,
115030,1,316,377.5757961,29100,33,29000,34,0.000102455,0.3436%,3.0303%,1,1450,,,
102581,1,344,404.3238848,20250,32,20200,33,0.000103143,0.2469%,3.1250%,1,1010,,,
115683,1,322,383.5757961,23200,34,23100,35,0.000103226,0.4310%,2.9412%,1,1155,,,
109177,1,309,370.5757961,23000,34,22900,35,0.000103518,0.4348%,2.9412%,1,1145,,,
107487,1,337,398.5757961,33800,32,33700,33,0.000105534,0.2959%,3.1250%,1,1685,,,
117786,1,305,366.5757961,31600,32,31500,33,0.000106669,0.3165%,3.1250%,1,1575,,,
114669,1,306,367.5757961,31000,32,30900,33,0.000107021,0.3226%,3.1250%,1,1545,,,
105191,0,298,359.5757961,24300,33,24200,34,0.000107069,0.4115%,3.0303%,1,1210,,,
105676,1,329,390.5757961,24300,33,24200,34,0.000107069,0.4115%,3.0303%,1,1210,,,
108362,0,313,374.5757961,24300,33,24200,34,0.000107069,0.4115%,3.0303%,1,1210,,,
110756,1,319,380.5757961,24300,33,24200,34,0.000107069,0.4115%,3.0303%,1,1210,,,
114487,1,312,373.5757961,24300,33,24200,34,0.000107069,0.4115%,3.0303%,1,1210,,,
116277,0,336,397.5757961,24300,33,24200,34,0.000107069,0.4115%,3.0303%,1,1210,,,
